IndivID,Name,Source,gwasID,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score
399,Duk,CS76824,6008,2,40,8,1,34,1,1
400,Bil-7,CS22579,6901,2,40,10,1,18,0,0
401,Lov-1,CS77049,6043,3,1,1,1,17,0,0
402,Duk,CS76824,6008,3,1,3,1,30,1,0
403,Rsch-4,CS1494,8374,3,1,5,1,23,0,0
404,C24,CS22620,6906,3,1,7,1,23,1,0
405,Seattle-0,CS6187,8245,3,1,9,1,21,0,0
406,HSm,CS76941,8236,3,2,2,0,27,0,2
407,Kin-0,CS22654,6926,3,2,4,0,17,1,1
408,Cvi-0,CS22614,6911,3,2,6,0,30,1,1
409,Mir-0,CS1379,8337,3,2,8,0,21,0,1
410,Liarum,CS77038,8241,3,2,10,1,20,0,0
411,Hov4-1,CS76936,8306,3,3,1,1,15,0,1
412,Ba5-1,CS76678,8259,3,3,3,0,17,0,0
413,Ost-0,CS1431,8351,3,3,5,0,36,0,1
414,Ct-1,CS22639,6910,3,3,7,0,37,1,2
415,Eden-1,CS22572,6009,3,3,9,0,36,0,1
416,Nok-3,CS22643,6945,3,4,2,0,40,0,0
417,En-1,CS76841,8290,3,4,4,0,28,1,1
418,Sq-1,CS22600,6966,3,4,6,0,42,1,1
419,Wa-1,CS22644,6978,3,4,8,0,22,1,0
420,Pna-17,CS22570,7523,3,4,10,1,25,0,0
421,PHW-34,CS6034,8244,3,5,1,1,21,0,1
422,Lip-0,CS1337,8325,3,5,3,0,34,1,1
423,Zdr-6,CS22589,6985,3,5,5,0,30,0,0
424,Kni-1,CS76970,6040,3,5,7,0,13,0,0
425,Lisse,CS6033,8430,3,5,9,0,35,0,1
426,Bil-5,CS22578,6900,3,6,2,0,16,0,1
427,In-0,CS1239,8311,3,6,4,0,32,1,1
428,Pu2-8,CS22449,6953,3,6,6,0,20,0,1
429,Zdr-1,CS22588,6984,3,6,8,0,22,1,1
430,Bu-0,CS1007,8271,3,6,10,1,20,0,1
431,Kz-1,CS22606,6930,3,7,1,1,20,1,3
432,Gu-0,CS22617,6922,3,7,3,0,35,1,1
433,Lillo-1,CS77039,8242,3,7,5,0,41,0,0
434,Can-0,CS1065,8274,3,7,7,0,31,0,0
435,Vastervik,CS78834,9058,3,7,9,0,22,0,1
436,Mz-0,CS22636,6940,3,8,2,0,29,1,0
437,Or-1,CS77150,6074,3,8,4,0,42,0,2
438,Lom1-1,CS77048,6042,3,8,6,0,35,1,1
439,Rubezhnoe-1,CS927,7323,3,8,8,0,35,1,1
440,H55,CS923,7461,3,8,10,1,41,0,1
441,Var2-1,CS22580,7516,3,9,1,1,28,0,0
442,Tu-0,CS1567,8395,3,9,3,0,30,1,1
443,Col(gl1-2),CS3126,2,3,9,5,0,35,0,0
444,Gr-1,CS1199,8300,3,9,7,0,30,1,0
445,Ler-1,CS22618,6932,3,9,9,0,24,1,0
446,Got-22,CS22609,6920,3,10,2,0,45,0,2
447,NC-6,CS77124,8246,3,10,4,0,40,0,0
448,Ei-2,CS22616,6915,3,10,6,0,34,0,0
449,Van-0,CS22627,6977,3,10,8,0,29,0,0
450,Cen-0,CS1067,8275,3,10,10,1,28,0,1
451,Eds-1,CS76834,6016,3,11,1,1,31,0,2
452,Lund,CS77060,8335,3,11,3,0,14,0,3
453,Sr:5,CS77268,8386,3,11,5,0,28,1,2
454,Oy-0,CS22658,6946,3,11,7,0,42,0,0
455,Ga-0,CS22634,6919,3,11,9,0,28,1,0
456,Ren-11,CS22611,6960,3,12,2,0,30,0,0
457,Pna-10,CS22571,7526,3,12,4,0,32,0,0
